Precinct - Full,Precinct Short,Orphan?,Walkable?,Area,Avg Age,% Male,% Female,Registered Voters,Voted,Voted %,Col J Orphan,Col J Non-Orphan,Col J Non-Walkable,Col J Walkable,Target 92+ #,Target 92+ Voted #,Target 92+ Voted %,Col Q Orphan,Col Q Non-Orphan,Col Q Non-Walkable,Col Q Walkable,Target 75+ #,Target 75+ Voted #,Target 75+ Voted %,Non-Target #,Non-Target Voted #,Non-Target Voted %,Target 92+ - Non-Target %,Target 75+ - Non-Target %,Dem #,Dem Voted #,Dem Voted %,Rep #,Rep Voted #,Rep Voted %,Green #,Green Voted #,Green Voted %,Lib #,Lib Voted #,Lib Voted %,Unaf #,Unaf Voted #,Unaf Voted %,Unaf 92+ #,Unaf 92+ Voted #,Unaf 92+ Voted %,Unaf 75+ #,Unaf 75+ Voted #,Unaf 75+ Voted %,Unaf 0-75 #,Unaf 0-75 Voted #,Unaf 0-75 Voted %
2181007830,830,0,1,BO-02,51.9587156,47.77%,51.97%,1526,1299,85.12%,#N/A,85.12%,#N/A,85.12%,1059,960,90.65%,#N/A,90.65%,#N/A,90.65%,1320,1143,86.59%,206,156,75.73%,14.92%,10.86%,779,698,89.60%,100,83,83.00%,4,4,100.00%,7,1,14.29%,636,513,80.66%,276,258,93.48%,537,441,82.12%,99,72,72.73%
2181007831,831,0,1,BO-05,29.73211169,50.35%,47.56%,1146,645,56.28%,#N/A,56.28%,#N/A,56.28%,521,321,61.61%,#N/A,61.61%,#N/A,61.61%,817,485,59.36%,329,160,48.63%,12.98%,10.73%,465,275,59.14%,112,61,54.46%,7,5,71.43%,17,6,35.29%,545,298,54.68%,49,41,83.67%,345,205,59.42%,200,93,46.50%
2181007832,832,0,1,BO-05,36.40645161,47.18%,51.21%,1240,899,72.50%,#N/A,72.50%,#N/A,72.50%,716,546,76.26%,#N/A,76.26%,#N/A,76.26%,945,722,76.40%,295,177,60.00%,16.26%,16.40%,568,415,73.06%,82,47,57.32%,6,3,50.00%,11,5,45.45%,573,429,74.87%,142,128,90.14%,371,304,81.94%,202,125,61.88%
2181007833,833,0,1,BO-05,38.49015317,52.66%,46.46%,1371,1033,75.35%,#N/A,75.35%,#N/A,75.35%,721,597,82.80%,#N/A,82.80%,#N/A,82.80%,1058,829,78.36%,313,204,65.18%,17.63%,13.18%,577,482,83.54%,84,53,63.10%,9,5,55.56%,17,10,58.82%,684,483,70.61%,135,110,81.48%,472,342,72.46%,212,141,66.51%
2181007834,834,0,1,BO-04,37.94883303,49.64%,50.09%,1114,916,82.23%,#N/A,82.23%,#N/A,82.23%,678,591,87.17%,#N/A,87.17%,#N/A,87.17%,911,769,84.41%,203,147,72.41%,14.75%,12.00%,487,419,86.04%,53,43,81.13%,9,7,77.78%,10,7,70.00%,555,440,79.28%,182,165,90.66%,415,343,82.65%,140,97,69.29%
2181007835,835,0,1,BO-04,49.73529412,49.35%,50.33%,612,536,87.58%,#N/A,87.58%,#N/A,87.58%,433,391,90.30%,#N/A,90.30%,#N/A,90.30%,533,465,87.24%,79,71,89.87%,0.43%,-2.63%,299,267,89.30%,34,33,97.06%,0,0,NULL,3,2,66.67%,276,234,84.78%,134,124,92.54%,234,198,84.62%,42,36,85.71%
2181007836,836,0,1,BO-04,46.00318979,49.92%,49.44%,627,537,85.65%,#N/A,85.65%,#N/A,85.65%,420,383,91.19%,#N/A,91.19%,#N/A,91.19%,540,472,87.41%,87,65,74.71%,16.48%,12.69%,263,239,90.87%,32,26,81.25%,2,2,100.00%,2,2,100.00%,328,268,81.71%,155,142,91.61%,275,231,84.00%,53,37,69.81%
2181007837,837,0,1,BO-04,50.60332871,49.10%,50.76%,721,637,88.35%,#N/A,88.35%,#N/A,88.35%,475,441,92.84%,#N/A,92.84%,#N/A,92.84%,613,548,89.40%,108,89,82.41%,10.43%,6.99%,344,319,92.73%,40,34,85.00%,1,1,100.00%,6,5,83.33%,330,278,84.24%,130,121,93.08%,268,228,85.07%,62,50,80.65%
2181007838,838,0,1,BO-04,51.4987234,50.47%,49.28%,1175,1037,88.26%,#N/A,88.26%,#N/A,88.26%,787,722,91.74%,#N/A,91.74%,#N/A,91.74%,978,878,89.78%,197,159,80.71%,11.03%,9.06%,592,547,92.40%,70,60,85.71%,1,1,100.00%,5,3,60.00%,507,426,84.02%,194,174,89.69%,385,330,85.71%,122,96,78.69%
2181007839,839,0,1,BO-04,48.99693487,50.57%,49.20%,1305,1141,87.43%,#N/A,87.43%,#N/A,87.43%,957,868,90.70%,#N/A,90.70%,#N/A,90.70%,1148,1008,87.80%,157,133,84.71%,5.99%,3.09%,640,587,91.72%,64,54,84.38%,2,1,50.00%,10,6,60.00%,589,493,83.70%,315,280,88.89%,506,420,83.00%,83,73,87.95%
2181007840,840,0,1,BO-04,55.17763905,46.88%,52.89%,1762,1536,87.17%,#N/A,87.17%,#N/A,87.17%,1264,1164,92.09%,#N/A,92.09%,#N/A,92.09%,1540,1363,88.51%,222,173,77.93%,14.16%,10.58%,904,836,92.48%,107,90,84.11%,6,5,83.33%,13,9,69.23%,732,596,81.42%,354,323,91.24%,630,522,82.86%,102,74,72.55%
2181007841,841,0,1,BO-04,33.71773347,56.45%,42.39%,953,732,76.81%,#N/A,76.81%,#N/A,76.81%,546,460,84.25%,#N/A,84.25%,#N/A,84.25%,780,615,78.85%,173,117,67.63%,16.62%,11.22%,412,347,84.22%,55,35,63.64%,4,3,75.00%,10,7,70.00%,472,340,72.03%,130,110,84.62%,364,265,72.80%,108,75,69.44%
2181007842,842,0,1,BO-03,45.69131833,47.48%,51.55%,933,783,83.92%,#N/A,83.92%,#N/A,83.92%,576,502,87.15%,#N/A,87.15%,#N/A,87.15%,715,616,86.15%,218,167,76.61%,10.55%,9.55%,425,366,86.12%,81,64,79.01%,4,2,50.00%,4,2,50.00%,419,349,83.29%,147,134,91.16%,286,248,86.71%,133,101,75.94%
2181007843,843,0,1,BO-03,41.23659306,53.31%,46.21%,1268,1023,80.68%,#N/A,80.68%,#N/A,80.68%,889,765,86.05%,#N/A,86.05%,#N/A,86.05%,1137,931,81.88%,131,92,70.23%,15.82%,11.65%,588,503,85.54%,38,27,71.05%,9,6,66.67%,3,2,66.67%,630,485,76.98%,292,256,87.67%,540,422,78.15%,90,63,70.00%
2181007846,846,0,1,BO-03,45.69948187,50.52%,49.48%,772,685,88.73%,#N/A,88.73%,#N/A,88.73%,596,553,92.79%,#N/A,92.79%,#N/A,92.79%,697,625,89.67%,75,60,80.00%,12.79%,9.67%,429,401,93.47%,29,25,86.21%,2,1,50.00%,2,2,100.00%,310,256,82.58%,165,151,91.52%,266,223,83.83%,44,33,75.00%
2181007847,847,0,1,BO-03,41.28619529,57.58%,42.20%,891,668,74.97%,#N/A,74.97%,#N/A,74.97%,562,468,83.27%,#N/A,83.27%,#N/A,83.27%,757,579,76.49%,134,89,66.42%,16.86%,10.07%,395,330,83.54%,40,28,70.00%,5,5,100.00%,8,6,75.00%,443,299,67.49%,162,133,82.10%,357,244,68.35%,86,55,63.95%
2181007848,848,0,1,BO-04,43.47354497,55.95%,43.78%,756,582,76.98%,#N/A,76.98%,#N/A,76.98%,450,391,86.89%,#N/A,86.89%,#N/A,86.89%,638,500,78.37%,118,82,69.49%,17.40%,8.88%,323,275,85.14%,37,29,78.38%,1,1,100.00%,11,7,63.64%,384,270,70.31%,126,115,91.27%,314,224,71.34%,70,46,65.71%
2181007849,849,0,1,BO-04,42.28197946,51.91%,47.90%,1071,909,84.87%,#N/A,84.87%,#N/A,84.87%,696,634,91.09%,#N/A,91.09%,#N/A,91.09%,909,790,86.91%,162,119,73.46%,17.64%,13.45%,460,412,89.57%,59,46,77.97%,0,0,NULL,1,1,100.00%,551,450,81.67%,236,222,94.07%,449,378,84.19%,102,72,70.59%
2181007850,850,0,1,BO-03,45.52012149,48.22%,51.71%,1317,1123,85.27%,#N/A,85.27%,#N/A,85.27%,955,874,91.52%,#N/A,91.52%,#N/A,91.52%,1178,1019,86.50%,139,104,74.82%,16.70%,11.68%,650,594,91.38%,52,36,69.23%,11,9,81.82%,13,11,84.62%,591,473,80.03%,294,271,92.18%,517,416,80.46%,74,57,77.03%
2181007851,851,0,1,BO-03,42.87417219,56.13%,43.54%,604,497,82.28%,#N/A,82.28%,#N/A,82.28%,430,379,88.14%,#N/A,88.14%,#N/A,88.14%,534,446,83.52%,70,51,72.86%,15.28%,10.66%,305,268,87.87%,30,24,80.00%,4,1,25.00%,4,4,100.00%,261,200,76.63%,121,110,90.91%,225,177,78.67%,36,23,63.89%
2181207100,100,0,1,SU-01,46.80888031,48.33%,51.61%,1554,1333,85.78%,#N/A,85.78%,#N/A,85.78%,672,604,89.88%,#N/A,89.88%,#N/A,89.88%,911,801,87.93%,643,532,82.74%,7.14%,5.19%,513,447,87.13%,238,221,92.86%,3,3,100.00%,8,6,75.00%,792,656,82.83%,156,154,98.72%,395,351,88.86%,397,305,76.83%
2181207101,101,0,1,SU-01,44.26058394,50.66%,49.20%,1370,1202,87.74%,#N/A,87.74%,#N/A,87.74%,651,595,91.40%,#N/A,91.40%,#N/A,91.40%,923,824,89.27%,447,378,84.56%,6.83%,4.71%,498,449,90.16%,145,130,89.66%,1,1,100.00%,15,14,93.33%,711,608,85.51%,152,145,95.39%,424,374,88.21%,287,234,81.53%
2181207102,102,0,1,SU-01,38.90041494,47.30%,52.53%,1205,948,78.67%,#N/A,78.67%,#N/A,78.67%,516,449,87.02%,#N/A,87.02%,#N/A,87.02%,786,639,81.30%,419,309,73.75%,13.27%,7.55%,384,327,85.16%,102,86,84.31%,3,2,66.67%,18,15,83.33%,698,518,74.21%,129,120,93.02%,399,310,77.69%,299,208,69.57%
2181207103,103,0,1,SU-01,46.38545151,50.84%,49.00%,1196,1029,86.04%,#N/A,86.04%,#N/A,86.04%,528,464,87.88%,#N/A,87.88%,#N/A,87.88%,708,615,86.86%,488,414,84.84%,3.04%,2.03%,372,314,84.41%,154,143,92.86%,1,1,100.00%,14,13,92.86%,655,558,85.19%,155,149,96.13%,335,300,89.55%,320,258,80.63%
2181207104,104,0,1,SU-01,45.58222222,50.67%,49.16%,1125,1006,89.42%,#N/A,89.42%,#N/A,89.42%,486,450,92.59%,#N/A,92.59%,#N/A,92.59%,672,619,92.11%,453,387,85.43%,7.16%,6.68%,346,315,91.04%,174,161,92.53%,0,0,NULL,6,6,100.00%,599,524,87.48%,140,135,96.43%,326,304,93.25%,273,220,80.59%
2181207105,105,0,1,SU-01,46.61268473,50.92%,48.95%,1624,1448,89.16%,#N/A,89.16%,#N/A,89.16%,841,780,92.75%,#N/A,92.75%,#N/A,92.75%,1134,1035,91.27%,490,413,84.29%,8.46%,6.98%,587,539,91.82%,157,141,89.81%,5,4,80.00%,10,6,60.00%,865,758,87.63%,249,237,95.18%,542,492,90.77%,323,266,82.35%
2181207106,106,0,0,SU-01,44.4085494,48.84%,51.09%,1427,1280,89.70%,#N/A,89.70%,89.70%,#N/A,718,674,93.87%,#N/A,93.87%,93.87%,#N/A,1039,949,91.34%,388,331,85.31%,8.56%,6.03%,520,484,93.08%,112,106,94.64%,1,1,100.00%,13,11,84.62%,781,678,86.81%,197,189,95.94%,518,464,89.58%,263,214,81.37%
2181207200,200,0,1,LV-01,51.66580977,48.93%,50.99%,1167,1069,91.60%,#N/A,91.60%,#N/A,91.60%,639,607,94.99%,#N/A,94.99%,#N/A,94.99%,849,797,93.88%,318,272,85.53%,9.46%,8.34%,477,450,94.34%,108,98,90.74%,1,1,100.00%,5,5,100.00%,576,515,89.41%,161,156,96.89%,371,346,93.26%,205,169,82.44%
2181207201,201,0,1,LV-01,49.26860254,48.82%,51.09%,1102,958,86.93%,#N/A,86.93%,#N/A,86.93%,545,504,92.48%,#N/A,92.48%,#N/A,92.48%,735,659,89.66%,367,299,81.47%,11.01%,8.19%,431,397,92.11%,103,94,91.26%,0,0,NULL,8,4,50.00%,560,463,82.68%,114,107,93.86%,304,262,86.18%,256,201,78.52%
2181207202,202,1,1,LV-01,49.77763329,49.67%,50.33%,769,712,92.59%,92.59%,#N/A,#N/A,92.59%,498,463,92.97%,92.97%,#N/A,#N/A,92.97%,611,569,93.13%,158,143,90.51%,2.47%,2.62%,352,328,93.18%,57,55,96.49%,2,2,100.00%,2,2,100.00%,356,325,91.29%,144,133,92.36%,257,239,93.00%,99,86,86.87%
2181207203,203,0,1,LV-01,47.73411017,49.58%,50.32%,944,848,89.83%,#N/A,89.83%,#N/A,89.83%,534,496,92.88%,#N/A,92.88%,#N/A,92.88%,708,647,91.38%,236,201,85.17%,7.71%,6.21%,396,364,91.92%,87,80,91.95%,5,4,80.00%,2,2,100.00%,454,398,87.67%,133,128,96.24%,307,279,90.88%,147,119,80.95%
2181207204,204,0,1,LV-01,49.61583387,47.18%,52.63%,1541,1398,90.72%,#N/A,90.72%,#N/A,90.72%,946,888,93.87%,#N/A,93.87%,#N/A,93.87%,1204,1111,92.28%,337,287,85.16%,8.71%,7.11%,673,629,93.46%,111,98,88.29%,1,1,100.00%,6,5,83.33%,750,665,88.67%,272,258,94.85%,530,481,90.75%,220,184,83.64%
2181207205,205,0,1,LV-02,48.41210375,47.93%,51.97%,1041,950,91.26%,#N/A,91.26%,#N/A,91.26%,638,608,95.30%,#N/A,95.30%,#N/A,95.30%,811,751,92.60%,230,199,86.52%,8.78%,6.08%,487,463,95.07%,64,60,93.75%,5,3,60.00%,12,8,66.67%,473,416,87.95%,146,142,97.26%,319,285,89.34%,154,131,85.06%
2181207206,206,0,1,LV-01,48.29909091,48.55%,51.36%,1100,1003,91.18%,#N/A,91.18%,#N/A,91.18%,716,680,94.97%,#N/A,94.97%,#N/A,94.97%,897,825,91.97%,203,178,87.68%,7.29%,4.29%,535,504,94.21%,67,61,91.04%,1,1,100.00%,8,7,87.50%,489,430,87.93%,180,175,97.22%,361,320,88.64%,128,110,85.94%
2181207207,207,0,1,LV-01,49.93235482,49.27%,50.61%,1567,1448,92.41%,#N/A,92.41%,#N/A,92.41%,968,922,95.25%,#N/A,95.25%,#N/A,95.25%,1181,1111,94.07%,386,337,87.31%,7.94%,6.77%,698,660,94.56%,150,139,92.67%,1,1,100.00%,3,2,66.67%,715,646,90.35%,269,261,97.03%,482,450,93.36%,233,196,84.12%
2181207208,208,0,1,LV-02,49.36288089,50.97%,48.94%,1083,929,85.78%,#N/A,85.78%,#N/A,85.78%,598,549,91.81%,#N/A,91.81%,#N/A,91.81%,752,681,90.56%,331,248,74.92%,16.88%,15.63%,455,413,90.77%,105,96,91.43%,2,2,100.00%,4,3,75.00%,517,415,80.27%,141,134,95.04%,295,266,90.17%,222,149,67.12%
2181207209,209,0,1,LV-02,49.41102582,46.55%,53.31%,1433,1230,85.83%,#N/A,85.83%,#N/A,85.83%,825,754,91.39%,#N/A,91.39%,#N/A,91.39%,1090,964,88.44%,343,266,77.55%,13.84%,10.89%,614,558,90.88%,126,112,88.89%,0,0,NULL,9,5,55.56%,684,555,81.14%,211,196,92.89%,476,406,85.29%,208,149,71.63%
2181207210,210,0,1,LV-02,56.22724014,43.80%,56.13%,1395,1267,90.82%,#N/A,90.82%,#N/A,90.82%,883,840,95.13%,#N/A,95.13%,#N/A,95.13%,1092,1015,92.95%,303,252,83.17%,11.96%,9.78%,631,596,94.45%,123,105,85.37%,2,1,50.00%,4,2,50.00%,635,563,88.66%,250,243,97.20%,459,418,91.07%,176,145,82.39%
2181207211,211,1,1,LV-02,50.08352941,48.12%,51.76%,850,750,88.24%,88.24%,#N/A,#N/A,88.24%,448,416,92.86%,92.86%,#N/A,#N/A,92.86%,569,523,91.92%,281,227,80.78%,12.07%,11.13%,359,331,92.20%,102,85,83.33%,1,1,100.00%,9,6,66.67%,379,327,86.28%,88,84,95.45%,209,191,91.39%,170,136,80.00%
2181207212,212,0,1,LV-02,49.03351955,48.92%,51.00%,1253,1098,87.63%,#N/A,87.63%,#N/A,87.63%,767,714,93.09%,#N/A,93.09%,#N/A,93.09%,925,840,90.81%,328,258,78.66%,14.43%,12.15%,568,534,94.01%,116,98,84.48%,1,1,100.00%,9,7,77.78%,559,458,81.93%,198,179,90.40%,356,305,85.67%,203,153,75.37%
2181207500,500,0,0,LF-02,54.4203252,49.02%,50.89%,1230,1118,90.89%,#N/A,90.89%,90.89%,#N/A,636,598,94.03%,#N/A,94.03%,94.03%,#N/A,829,772,93.12%,401,346,86.28%,7.74%,6.84%,486,457,94.03%,183,164,89.62%,0,0,NULL,7,7,100.00%,554,490,88.45%,150,141,94.00%,343,315,91.84%,211,175,82.94%
2181207501,501,0,1,LF-02,53.97689076,51.16%,48.63%,952,829,87.08%,#N/A,87.08%,#N/A,87.08%,602,547,90.86%,#N/A,90.86%,#N/A,90.86%,744,654,87.90%,208,175,84.13%,6.73%,3.77%,439,394,89.75%,93,90,96.77%,3,1,33.33%,3,1,33.33%,414,343,82.85%,160,152,95.00%,302,259,85.76%,112,84,75.00%
2181207502,502,0,1,LF-02,53.10609172,50.92%,48.87%,1461,1303,89.19%,#N/A,89.19%,#N/A,89.19%,742,699,94.20%,#N/A,94.20%,#N/A,94.20%,934,864,92.51%,527,439,83.30%,10.90%,9.20%,551,516,93.65%,218,184,84.40%,6,5,83.33%,8,6,75.00%,678,592,87.32%,185,178,96.22%,377,343,90.98%,301,249,82.72%
2181207503,503,0,0,BO-11,47.30116473,51.41%,48.42%,601,457,76.04%,#N/A,76.04%,76.04%,#N/A,310,262,84.52%,#N/A,84.52%,84.52%,#N/A,426,337,79.11%,175,120,68.57%,15.94%,10.54%,237,195,82.28%,57,48,84.21%,3,2,66.67%,6,2,33.33%,298,210,70.47%,70,65,92.86%,186,140,75.27%,112,70,62.50%
2181207504,504,0,1,BO-11,46.04526578,48.13%,51.83%,2408,2119,88.00%,#N/A,88.00%,#N/A,88.00%,1634,1528,93.51%,#N/A,93.51%,#N/A,93.51%,2068,1862,90.04%,340,257,75.59%,17.92%,14.45%,1133,1057,93.29%,104,90,86.54%,11,6,54.55%,17,12,70.59%,1143,954,83.46%,490,465,94.90%,924,799,86.47%,219,155,70.78%
2181207505,505,0,1,BO-11,55.07543103,47.41%,52.48%,928,851,91.70%,#N/A,91.70%,#N/A,91.70%,476,450,94.54%,#N/A,94.54%,#N/A,94.54%,623,577,92.62%,305,274,89.84%,4.70%,2.78%,379,357,94.20%,144,129,89.58%,0,0,NULL,6,6,100.00%,399,359,89.97%,97,93,95.88%,244,220,90.16%,155,139,89.68%
2181207506,506,0,1,GN-01,52.65286404,50.59%,49.34%,1449,1327,91.58%,#N/A,91.58%,#N/A,91.58%,852,804,94.37%,#N/A,94.37%,#N/A,94.37%,1039,974,93.74%,410,353,86.10%,8.27%,7.65%,638,601,94.20%,158,147,93.04%,1,0,0.00%,15,11,73.33%,637,568,89.17%,213,203,95.31%,400,373,93.25%,237,195,82.28%
2181207507,507,0,1,GN-01,51.45067601,48.87%,50.83%,1997,1736,86.93%,#N/A,86.93%,#N/A,86.93%,1054,961,91.18%,#N/A,91.18%,#N/A,91.18%,1357,1224,90.20%,640,512,80.00%,11.18%,10.20%,781,702,89.88%,258,232,89.92%,11,8,72.73%,13,8,61.54%,934,786,84.15%,262,251,95.80%,565,514,90.97%,369,272,73.71%
2181207508,508,0,1,GN-01,53.41677175,50.13%,49.75%,1586,1437,90.61%,#N/A,90.61%,#N/A,90.61%,827,775,93.71%,#N/A,93.71%,#N/A,93.71%,1064,992,93.23%,522,445,85.25%,8.46%,7.98%,568,526,92.61%,213,195,91.55%,5,5,100.00%,12,9,75.00%,788,702,89.09%,254,244,96.06%,491,461,93.89%,297,241,81.14%
2181207509,509,0,1,GN-01,54.65601504,45.93%,54.07%,1596,1429,89.54%,#N/A,89.54%,#N/A,89.54%,942,873,92.68%,#N/A,92.68%,#N/A,92.68%,1166,1068,91.60%,430,361,83.95%,8.72%,7.64%,717,663,92.47%,160,148,92.50%,7,3,42.86%,15,12,80.00%,697,603,86.51%,218,207,94.95%,442,402,90.95%,255,201,78.82%
2181207510,510,0,1,GN-01,51.49518459,49.76%,50.08%,1246,1111,89.17%,#N/A,89.17%,#N/A,89.17%,476,445,93.49%,#N/A,93.49%,#N/A,93.49%,640,592,92.50%,606,519,85.64%,7.84%,6.86%,383,354,92.43%,229,212,92.58%,1,0,0.00%,8,6,75.00%,625,539,86.24%,92,91,98.91%,256,238,92.97%,369,301,81.57%
2184907003,003,1,1,SU-01,47,66.67%,33.33%,3,3,100.00%,100.00%,#N/A,#N/A,100.00%,0,0,NULL,NULL,#N/A,#N/A,NULL,0,0,NULL,3,3,100.00%,NULL,NULL,0,0,NULL,2,2,100.00%,0,0,NULL,0,0,NULL,1,1,100.00%,0,0,NULL,0,0,NULL,1,1,100.00%
2184907804,804,0,1,BO-10,48.37888199,51.07%,48.59%,1449,1141,78.74%,#N/A,78.74%,#N/A,78.74%,931,817,87.76%,#N/A,87.76%,#N/A,87.76%,1192,974,81.71%,257,167,64.98%,22.77%,16.73%,642,558,86.92%,108,81,75.00%,13,5,38.46%,15,8,53.33%,671,489,72.88%,276,254,92.03%,537,411,76.54%,134,78,58.21%
2184907805,805,0,1,BO-10,52.12618842,47.02%,52.72%,1157,1027,88.76%,#N/A,88.76%,#N/A,88.76%,830,778,93.73%,#N/A,93.73%,#N/A,93.73%,1022,912,89.24%,135,115,85.19%,8.55%,4.05%,630,588,93.33%,47,45,95.74%,3,2,66.67%,5,3,60.00%,472,389,82.42%,197,188,95.43%,389,322,82.78%,83,67,80.72%
2184907814,814,0,1,BO-10,56.44537815,46.34%,53.54%,833,752,90.28%,#N/A,90.28%,#N/A,90.28%,575,535,93.04%,#N/A,93.04%,#N/A,93.04%,696,636,91.38%,137,116,84.67%,8.37%,6.71%,446,417,93.50%,56,49,87.50%,0,0,NULL,4,3,75.00%,327,283,86.54%,129,118,91.47%,250,219,87.60%,77,64,83.12%
2184907815,815,0,1,BO-09,51.24957746,47.49%,52.45%,1775,1576,88.79%,#N/A,88.79%,#N/A,88.79%,1209,1114,92.14%,#N/A,92.14%,#N/A,92.14%,1535,1372,89.38%,240,204,85.00%,7.14%,4.38%,847,772,91.15%,89,77,86.52%,1,0,0.00%,7,7,100.00%,831,720,86.64%,361,342,94.74%,687,600,87.34%,144,120,83.33%
2184907827,827,0,1,BO-07,51.6154769,47.45%,52.43%,1667,1451,87.04%,#N/A,87.04%,#N/A,87.04%,1221,1100,90.09%,#N/A,90.09%,#N/A,90.09%,1465,1288,87.92%,202,163,80.69%,9.40%,7.23%,870,785,90.23%,74,68,91.89%,7,7,100.00%,8,4,50.00%,708,587,82.91%,344,308,89.53%,588,496,84.35%,120,91,75.83%
2184907828,828,0,1,BO-05,53.9671151,49.78%,50.07%,669,609,91.03%,#N/A,91.03%,#N/A,91.03%,478,455,95.19%,#N/A,95.19%,#N/A,95.19%,583,539,92.45%,86,70,81.40%,13.79%,11.06%,372,352,94.62%,30,27,90.00%,2,2,100.00%,3,3,100.00%,262,225,85.88%,104,101,97.12%,209,185,88.52%,53,40,75.47%
2184907844,844,0,1,BO-02,52.31442786,50.05%,49.95%,1005,896,89.15%,#N/A,89.15%,#N/A,89.15%,723,676,93.50%,#N/A,93.50%,#N/A,93.50%,873,790,90.49%,132,106,80.30%,13.20%,10.19%,563,527,93.61%,51,43,84.31%,1,0,0.00%,5,1,20.00%,385,325,84.42%,159,149,93.71%,309,263,85.11%,76,62,81.58%
2184907845,845,0,1,BO-02,47.81690141,49.12%,50.76%,1704,1506,88.38%,#N/A,88.38%,#N/A,88.38%,1217,1121,92.11%,#N/A,92.11%,#N/A,92.11%,1529,1360,88.95%,175,146,83.43%,8.68%,5.52%,867,793,91.46%,64,54,84.38%,4,3,75.00%,8,7,87.50%,761,649,85.28%,346,325,93.93%,658,564,85.71%,103,85,82.52%
2184907852,852,0,1,BO-02,53.78939394,47.42%,51.97%,660,593,89.85%,#N/A,89.85%,#N/A,89.85%,483,452,93.58%,#N/A,93.58%,#N/A,93.58%,573,520,90.75%,87,73,83.91%,9.67%,6.84%,333,309,92.79%,39,34,87.18%,5,4,80.00%,2,1,50.00%,281,245,87.19%,145,139,95.86%,235,207,88.09%,46,38,82.61%
2184907853,853,0,1,BO-02,51.76507538,49.37%,50.38%,796,721,90.58%,#N/A,90.58%,#N/A,90.58%,524,501,95.61%,#N/A,95.61%,#N/A,95.61%,695,642,92.37%,101,79,78.22%,17.39%,14.16%,385,366,95.06%,47,42,89.36%,0,0,NULL,3,3,100.00%,361,310,85.87%,139,135,97.12%,310,276,89.03%,51,34,66.67%
2184907854,854,0,1,BO-01,52.15729047,49.48%,50.40%,871,795,91.27%,#N/A,91.27%,#N/A,91.27%,666,619,92.94%,#N/A,92.94%,#N/A,92.94%,780,715,91.67%,91,80,87.91%,5.03%,3.75%,447,417,93.29%,47,41,87.23%,2,2,100.00%,1,1,100.00%,374,334,89.30%,217,200,92.17%,331,296,89.43%,43,38,88.37%
2184907855,855,0,1,BO-01,50.49420849,49.58%,50.19%,1295,1170,90.35%,#N/A,90.35%,#N/A,90.35%,997,921,92.38%,#N/A,92.38%,#N/A,92.38%,1178,1077,91.43%,117,93,79.49%,12.89%,11.94%,680,635,93.38%,42,40,95.24%,6,5,83.33%,4,2,50.00%,563,488,86.68%,311,281,90.35%,492,437,88.82%,71,51,71.83%
2184907856,856,0,1,BO-01,50.13587302,48.89%,51.11%,1575,1417,89.97%,#N/A,89.97%,#N/A,89.97%,1050,980,93.33%,#N/A,93.33%,#N/A,93.33%,1356,1229,90.63%,219,188,85.84%,7.49%,4.79%,786,733,93.26%,85,74,87.06%,4,3,75.00%,8,7,87.50%,692,600,86.71%,260,244,93.85%,566,493,87.10%,126,107,84.92%
2184907857,857,0,1,BO-01,52.05549626,47.81%,51.87%,937,848,90.50%,#N/A,90.50%,#N/A,90.50%,680,634,93.24%,#N/A,93.24%,#N/A,93.24%,841,765,90.96%,96,83,86.46%,6.78%,4.50%,471,440,93.42%,41,39,95.12%,4,3,75.00%,5,5,100.00%,416,361,86.78%,205,191,93.17%,366,322,87.98%,50,39,78.00%
